NatEmis,Official_Institution_Name,CMC,EICircuit,Phase_PED,F,Gr R,Gr 1,Year(s) on the Programme,Matched_GPS_Coordinates,,,Matched_Area
200101042,ALFONSO ARRIES PRIMARY SCHOOL,Tinara,NM Tinara-1,2. PRIMARY,3,121,239,2025,"-33.85252176304911, 25.44844008041195",,,Booysen Park
200100986,KUYGA PUBLIC JUNIOR SECONDARY SCHOOL,Central,NM Central-2,2. PRIMARY,3,83,130,2025,"-33.923070846691544, 25.444207080415957",,,Gqeberha
200100502,MBONISELO PUBLIC SCHOOL,Algoa,NM Algoa-3,2. PRIMARY,3,64,93,"2024, 2025","-33.79419396401596, 25.60125204987966",,,Motherwell
200100506,MELISIZWE PUBLIC PRIMARY SCHOOL,Algoa,NM Algoa-4,2. PRIMARY,3,135,169,"2024, 2025","-33.79030154331179, 25.59253237132151",,,Motherwell
200100543,MZIMHLOPHE PUBLIC PRIMARY SCHOOL,Central,NM Central-2,2. PRIMARY,3,66,83,"2023, 2024, 2025","-33.85772462168759, 25.55796065968032",,,Veeplas
200100624,PHAKAMA PUBLIC SCHOOL,Central,NM Central-5,2. PRIMARY,3,17,19,2025,"-33.865694552255796, 25.58158073993843",,,KwaZakhele
200100675,SAMUEL NONGOGO PRIMARY SCHOOL,Algoa,NM Algoa-5,2. PRIMARY,3,25,30,2025,"-33.89594523723956, 25.59967631403487",,,New Brighton
200100705,SIVUYISENI PRIMARY SCHOOL,Tinara,NM Tinara-3,2. PRIMARY,3,74,107,2025,"-33.84014561495402, 25.531225387221557",,,Kwamagxaki
200100707,SIYAPHAMBILI PUBLIC SCHOOL,Algoa,NM Algoa-3,2. PRIMARY,3,66,63,2025,"-33.802388551296225, 25.614536336941672",,,Motherwell
200100724,SPENCER MABIJA COMBINED SCHOOL,Tinara,NM Tinara-3,2. PRIMARY,3,27,73,"2023, 2024, 2025","-33.843317397649, 25.53867862345059",,,Kwamagxaki
200100747,STEPHEN MAZUNGULA SENIOR PRIMARY SCHOOL,Algoa,NM Algoa-5,2. PRIMARY,3,68,62,2025,"-33.891207206028575, 25.592623900163076",,,New Brighton
200100819,VEZUBUHLE PRIMARY SCHOOL,Algoa,NM Algoa-1,2. PRIMARY,3,43,49,2025,"-33.817247672087014, 25.59303636577805",,,Motherwell
200100828,VUKANIBANTU PRIMARY SCHOOL,Algoa,NM Algoa-1,2. PRIMARY,3,64,78,2025,"-33.826553042593886, 25.59854277132372",,,Motherwell
200100882,ZANOXOLO PUBLIC SCHOOL,Algoa,NM Algoa-3,2. PRIMARY,3,80,91,2025,"-33.79713051020942, 25.605451096460705",,,Motherwell
200100921,GARRETT PUBLIC PRIMARY SCHOOL,Central,NM Central-2,2. PRIMARY,3,79,67,2025,"-33.86674497710913, 25.558691860236006",,,Zwide
